Sales Period,Total Views,Policy,Gross Revenue (USD),Exchange Rate,Tunecore Commision,Net Revenue,Net Revenue Currency,YouTube Video Link,Song Name,Album Name,Label Name,Artist Name
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=THRVYKopyfQ,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=TIjLcUCMAzQ,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,172,monetize,0.000021,1.2412,0.2,0.000021,CAD,http://www.youtube.com/watch?v=TQ-Llr1k0EE,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,12,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=TQ-Llr1k0EE,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,5,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=TVNglMQebik,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,9,monetize,0.000037,1.2412,0.2,0.000037,CAD,http://www.youtube.com/watch?v=TjpmrIj5kQw,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=TjpmrIj5kQw,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,33,monetize,0.00168,1.2412,0.2,0.001668,CAD,http://www.youtube.com/watch?v=Tt_i9-CCVoo,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,70,monetize,0.04302,1.2412,0.2,0.042717,CAD,http://www.youtube.com/watch?v=URR7ISvrkgA,Paper Touching,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,78,monetize,0.03206,1.2412,0.2,0.031834,CAD,http://www.youtube.com/watch?v=Us8aZ4et0yo,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Us8aZ4et0yo,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,49,monetize,0.00008,1.2412,0.2,0.000079,CAD,http://www.youtube.com/watch?v=VfcKhDKiOz4,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,32,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=VktCKxPyYZo,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,7,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=WExSSrOWWvY,Let That Kush Burn (Remix),Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=X6Hz0DTiX-o,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=X6Hz0DTiX-o,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,68957,monetize,9.990656,1.2412,0.2,9.920322,CAD,http://www.youtube.com/watch?v=XH-J6pEldWg,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,33370,track,0.053896,1.2412,0.2,0.053517,CAD,http://www.youtube.com/watch?v=XH-J6pEldWg,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,1,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=XIAR-5M-Mt0,Nobody Matches Me,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,330,monetize,0.030689,1.2412,0.2,0.030473,CAD,http://www.youtube.com/watch?v=XV-vh1CYAgQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,15,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=XV-vh1CYAgQ,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,monetize,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=YYrpX5OI2ZA,Renegade (Remix) [feat. Juice],Demolition Volume 1,iRapproduction,Luigi
2015-02-01,16,monetize,0.000388,1.2412,0.2,0.000385,CAD,http://www.youtube.com/watch?v=YwiR6wjCU8w,Ghostwriter,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,2,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=YwiR6wjCU8w,Ghostwriter,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,3260,monetize,1.932743,1.2412,0.2,1.919136,CAD,http://www.youtube.com/watch?v=Z2cM6-caIRw,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
2015-02-01,539,track,0.0,1.2412,0.2,0.0,CAD,http://www.youtube.com/watch?v=Z2cM6-caIRw,Without Struggle,Demolition Volume 1,iRapproduction,Luigi
